x,Males,Females
0.023837,50.9164,50.0225
0.0259326,50.1178,50.1178
0.0266311,49.8516,50.1496
0.0721223,52.5163,52.2183
0.0728208,52.5436,52.2501
0.0756149,52.6532,51.1853
0.119709,54.3823,53.4749
0.121805,54.4273,53.5837
0.17009,55.4648,55.1836
0.218375,56.5023,56.7835
0.219074,56.5173,56.7965
0.267359,58.1171,57.6983
0.318438,58.9296,58.6523
0.368121,59.7197,59.7197
0.415009,61.852,60.7272
0.417803,61.8964,60.7872
0.463993,62.6311,63.1857
0.515771,63.4546,64.0092
0.563357,65.3206,64.766
0.564754,65.3429,64.7883
0.664119,66.9232,66.9232
0.711706,68.7893,67.812
0.764182,69.4331,68.792
0.81107,70.0084,70.9243
0.864245,70.6608,71.5767
0.96361,72.2412,72.7958
1.11615,74.6674,75.3903
1.21482,76.3455,77.0685
1.36736,78.9401,79.1607
1.46812,80.8219,80.5427
1.56748,82.6776,81.7618
1.7732,84.8327,84.2857
1.92434,86.4161,86.6896
2.0272,87.4937,87.7672
2.33297,90.6971,90.9706
2.38475,91.2395,91.421
2.64085,93.6186,93.6489
2.84586,95.5232,95.5232
3.05088,97.3975,97.3975
3.25589,99.2718,98.9228
3.41123,100.532,100.079
3.7184,103.023,102.48
3.82266,103.655,103.295
4.33834,106.783,106.512
4.33904,106.787,106.516
4.9065,110.273,110.273
5.32072,113.147,112.425
5.3704,113.492,112.735
5.8371,116.526,115.646
5.98964,117.518,116.571
6.45704,120.12,119.406
6.71384,121.549,121.075
6.86987,122.508,122.09
7.282,125.04,124.23
7.38765,125.588,124.779
7.69622,127.191,127.191
7.90333,128.267,128.052
8.21539,129.888,129.348
8.62822,132.032,131.492
8.73317,132.543,132.037
9.1474,134.56,134.189
9.45736,136.069,136.03
9.50914,136.324,136.338
9.92267,138.364,138.755
10.3341,140.394,141.971
10.4936,141.181,143.078
10.6434,141.959,144.117
11.0044,143.834,146.532
11.2185,144.946,147.768
11.4697,146.382,149.219
11.7272,147.854,151.096
11.7356,147.902,151.133
12.0904,150.141,152.712
12.4584,152.465,154.624
12.6081,153.385,155.401
13.0265,155.956,157.092
13.0755,156.327,157.289
13.4394,159.084,158.64
13.5926,160.245,158.941
13.8571,162.138,159.46
14.0047,163.195,159.899
14.2216,164.463,160.544
14.4183,165.613,160.984
14.5869,166.586,161.362
14.8836,168.299,161.789
15.162,169.745,162.191
15.2978,170.451,162.296
15.5286,171.189,162.476
15.9744,172.616,162.953
16.052,172.741,163.036
16.6538,173.716,163.067
16.7342,173.754,163.071
17.259,174.004,163.099
17.2828,174.015,163.1
17.9636,174.583,163.136
18.2035,174.672,163.148
18.8025,174.893,163.18
19.3273,174.921,163.207
19.8303,174.947,163.233
19.9045,174.951,163.225
20.5343,174.984,163.159
21.3214,175.025,163.075
21.5103,175.035,163.055
22.3184,175.077,163.097
23.263,175.127,163.147
23.5044,175.139,163.159
23.9452,175.162,163.117
24.9423,175.214,163.02
25.2893,175.233,162.986
25.3621,175.236,162.971
27.2848,174.824,162.558
27.3576,174.808,162.562
28.6695,174.877,162.631
28.9115,174.813,162.643
30.3501,174.432,162.379
31.1694,174.475,162.229
31.9244,174.515,162.156
32.9543,174.382,162.056
33.3945,174.325,162.079
34.4236,174.136,162.133
35.6523,173.911,161.831
36.2092,173.844,161.694
37.836,173.65,161.779
38.7498,173.541,161.576
39.779,173.346,161.348
40.9553,173.123,161.41
41.6682,173.029,161.447
43.5594,172.779,160.747
43.8429,172.742,160.722
45.4493,172.672,160.58
46.6248,172.621,160.48
47.3916,172.476,160.415
48.8302,172.204,160.288
49.2814,172.154,160.248
50.4577,172.023,160.309
51.433,171.919,160.36
52.1376,171.845,160.214
53.481,171.502,159.935
53.8707,171.403,159.955
54.8978,171.22,160.009
55.0259,171.197,160.016
